         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
    2600000  +1         0 1 0 00000110 2 0 
    2650000  +1         0 1 1 00000110 2 0 
    2700000  +1         0 1 0 00001001 2 0 
    2750000  +1         0 1 1 00001001 2 0 
    2800000  +1         0 1 0 00001100 2 0 
    2850000  +1         0 1 1 00001100 2 0 
    2900000  +1         0 1 0 00001111 2 0 
    2950000  +1         0 1 1 00001111 2 0 
    3000000  +1         0 1 0 00010010 2 0 
    3050000  +1         0 1 1 00010010 2 0 
    3100000  +1         0 1 0 00010101 2 0 
    3150000  +1         0 1 1 00010101 2 0 
    3200000  +1         0 0 0 00011000 2 0 
    3250000  +1         0 0 1 00011000 2 0 
    3300000  +1         0 0 0 00011011 2 0 
    3350000  +1         0 0 1 00011011 2 0 
    3400000  +1         0 1 0 00011110 2 0 
    3450000  +3         0 1 1 00011110 2 1 
    3500000  +1         0 1 0 00100001 2 1 
    3550000  +3         0 1 1 00100001 2 0 
    3600000  +1         0 1 0 00000000 3 0 
    3650000  +1         0 1 1 00000000 3 0 
    3700000  +1         0 1 0 00000100 3 0 
    3750000  +1         0 1 1 00000100 3 0 
    3800000  +1         0 1 0 00001000 3 0 
    3850000  +1         0 1 1 00001000 3 0 
    3900000  +1         0 1 0 00001100 3 0 
    3950000  +1         0 1 1 00001100 3 0 
    4000000  +1         0 1 0 00010000 3 0 
    4050000  +1         0 1 1 00010000 3 0 
    4100000  +1         0 1 0 00010100 3 0 
    4150000  +1         0 1 1 00010100 3 0 
    4200000  +1         0 1 0 00011000 3 0 
    4250000  +1         0 1 1 00011000 3 0 
    4300000  +1         0 1 0 00011100 3 0 
    4350000  +1         0 1 1 00011100 3 0 
    4400000  +1         0 1 0 00100000 3 0 
    4450000  +3         0 1 1 00100000 3 1 
    4500000  +1         0 1 0 00100100 3 1 
    4550000  +1         0 1 1 00100100 3 1 
    4600000  +1         0 1 0 00101000 3 1 
    4650000  +1         0 1 1 00101000 3 1 
    4700000  +1         0 1 0 00101100 3 1 
    4750000  +1         0 1 1 00101100 3 1 
    4800000  +1         0 1 0 00000000 0 1 
    4850000  +3         0 1 1 00000000 0 0 
    4900000  +1         0 1 0 00000001 0 0 
    4950000  +1         0 1 1 00000001 0 0 
    5000000  +1         0 1 0 00000010 0 0 
    5050000  +1         0 1 1 00000010 0 0 
    5100000  +1         0 1 0 00000011 0 0 
    5150000  +1         0 1 1 00000011 0 0 
    5200000  +1         0 1 0 00000100 0 0 
    5250000  +1         0 1 1 00000100 0 0 
    5300000  +1         0 1 0 00000101 0 0 
    5350000  +1         0 1 1 00000101 0 0 
    5400000  +1         0 1 0 00000110 0 0 
    5450000  +1         0 1 1 00000110 0 0 
    5500000  +1         0 1 0 00000111 0 0 
    5550000  +1         0 1 1 00000111 0 0 
    5600000  +1         0 1 0 00001000 0 0 
    5650000  +3         0 1 1 00001000 0 1 
    5700000  +1         0 1 0 00001001 0 1 
    5750000  +1         0 1 1 00001001 0 1 
    5800000  +1         0 1 0 00001010 0 1 
    5850000  +1         0 1 1 00001010 0 1 
    5900000  +1         0 1 0 00001011 0 1 
    5950000  +1         0 1 1 00001011 0 1 
    6000000  +1         0 1 0 00000000 1 1 
    6050000  +3         0 1 1 00000000 1 0 
    6100000  +1         0 1 0 00000010 1 0 
    6150000  +1         0 1 1 00000010 1 0 
    6200000  +1         0 1 0 00000100 1 0 
    6250000  +1         0 1 1 00000100 1 0 
    6300000  +1         0 1 0 00000110 1 0 
    6350000  +1         0 1 1 00000110 1 0 
    6400000  +1         0 1 0 00001000 1 0 
    6450000  +1         0 1 1 00001000 1 0 
    6500000  +1         0 1 0 00001010 1 0 
    6550000  +1         0 1 1 00001010 1 0 
    6600000  +1         0 1 0 00001100 1 0 
    6650000  +1         0 1 1 00001100 1 0 
    6700000  +1         0 1 0 00001110 1 0 
    6750000  +1         0 1 1 00001110 1 0 
    6800000  +1         0 1 0 00010000 1 0 
    6850000  +3         0 1 1 00010000 1 1 
    6900000  +1         0 1 0 00010010 1 1 
    6950000  +1         0 1 1 00010010 1 1 
    7000000  +1         0 1 0 00010100 1 1 
    7050000  +1         0 1 1 00010100 1 1 
    7100000  +1         0 1 0 00010110 1 1 
    7150000  +1         0 1 1 00010110 1 1 
    7200000  +1         0 1 0 00000000 2 1 
    7250000  +3         0 1 1 00000000 2 0 
    7300000  +1         0 1 0 00000011 2 0 
    7350000  +1         0 1 1 00000011 2 0 
    7400000  +1         0 1 0 00000110 2 0 
    7450000  +1         0 1 1 00000110 2 0 
    7500000  +1         0 1 0 00001001 2 0 
    7550000  +1         0 1 1 00001001 2 0 
    7600000  +1         0 1 0 00001100 2 0 
    7650000  +1         0 1 1 00001100 2 0 
    7700000  +1         0 1 0 00001111 2 0 
    7750000  +1         0 1 1 00001111 2 0 
    7800000  +1         0 1 0 00010010 2 0 
    7850000  +1         0 1 1 00010010 2 0 
    7900000  +1         0 1 0 00010101 2 0 
    7950000  +1         0 1 1 00010101 2 0 
    8000000  +1         0 1 0 00011000 2 0 
    8050000  +3         0 1 1 00011000 2 1 
    8100000  +1         0 1 0 00011011 2 1 
    8150000  +1         0 1 1 00011011 2 1 
    8200000  +1         0 1 0 00011110 2 1 
    8250000  +1         0 1 1 00011110 2 1 
    8300000  +1         0 1 0 00100001 2 1 
    8350000  +1         0 1 1 00100001 2 1 
    8400000  +1         0 1 0 00000000 3 1 
    8450000  +3         0 1 1 00000000 3 0 
    8500000  +1         0 1 0 00000100 3 0 
    8550000  +1         0 1 1 00000100 3 0 
    8600000  +1         0 1 0 00001000 3 0 
    8650000  +1         0 1 1 00001000 3 0 
    8700000  +1         0 1 0 00001100 3 0 
    8750000  +1         0 1 1 00001100 3 0 
    8800000  +1         0 1 0 00010000 3 0 
    8850000  +1         0 1 1 00010000 3 0 
    8900000  +1         0 1 0 00010100 3 0 
    8950000  +1         0 1 1 00010100 3 0 
    9000000  +1         0 1 0 00011000 3 0 
    9050000  +1         0 1 1 00011000 3 0 
    9100000  +1         0 1 0 00011100 3 0 
    9150000  +1         0 1 1 00011100 3 0 
    9200000  +1         0 1 0 00100000 3 0 
    9250000  +3         0 1 1 00100000 3 1 
    9300000  +1         0 1 0 00100100 3 1 
    9350000  +1         0 1 1 00100100 3 1 
    9400000  +1         0 1 0 00101000 3 1 
    9450000  +1         0 1 1 00101000 3 1 
    9500000  +1         0 1 0 00101100 3 1 
    9550000  +1         0 1 1 00101100 3 1 
